,text,binary,multiclass,source,clean_text,language
22,ایک قصبے میں رہنے والے عجیب لوگ ان کی زندگی کے بارے میں جانا. licker کی ہے سب کچھ licks ہے جو ایک آدمی، ایک جسم ہے کہ وہ اس کے ساتھ رہنے کے لئے گھر لیتا ہے جو پتہ چلا ہے کہ ایک dumpster غوطہ، ایک گڑیا کے ساتھ ایک پاگل لڑکی کو اس طرح کپڑے پہنے، اپنی بری راہوں کی صفائی پیش لڑکیوں کے لئے چاہتا ہے جو ایک لڑکے ... آف بیٹ انتہائی میں، سیاہ اور سفید فلم میں اس شاٹ رنگ سے باہر کے ساتھ بہتر ہے. مونوکروم گھر فلم احساس سے اٹھ دو قدم دور کنارے لگتے ہیں. ایک Troma فلم کی طرح، اس فلم کے فٹ بیٹھتا ہے اور شروع میں مزہ لیکن weirds خاطر زیادہ تر اس کے عجیب ہے اور جلد ہی ایک اجلاس ہونے کے تناظر بور سے ایک کے بعد سے آپ سیٹ اپ آپ اندازہ اس کی ایک بہت always- وقت نہیں جا رہا ہے جہاں کی قسم سکتے دیکھنے بن جاتا ہے لیکن اس کے لئے کافی مزہ نہیں ہو. (حالانکہ میں صفائی آتے ہوئے نہیں دیکھا). ورتھ ورنہ آپ نے کچھ بھی نہیں دیکھنے کے لئے اگر ایک شاٹ اور اپنی گولڈن لڑکیوں کی اگلی سیٹ Netflix سے آنے کے لئے انتظار کر رہے ہیں.,Not Hope,Not Hope,train,ایک قصبے میں رہنے والے عجیب لوگ ان کی زندگی کے بارے میں جانا licker کی ہے سب کچھ licks ہے جو ایک دمی ایک جسم ہے کہ وہ اس کے ساتھ رہنے کے لے گھر لیتا ہے جو پتہ چلا ہے کہ ایک dumpster غوطہ ایک گڑیا کے ساتھ ایک پاگل لڑکی کو اس طرح کپڑے پہنے اپنی بری راہوں کی صفای پیش لڑکیوں کے لے چاہتا ہے جو ایک لڑکے  ف بیٹ انتہای میں سیاہ اور سفید فلم میں اس شاٹ رنگ سے باہر کے ساتھ بہتر ہے مونوکروم گھر فلم احساس سے اٹھ دو قدم دور کنارے لگتے ہیں ایک troma فلم کی طرح اس فلم کے فٹ بیٹھتا ہے اور شروع میں مزہ لیکن weirds خاطر زیادہ تر اس کے عجیب ہے اور جلد ہی ایک اجلاس ہونے کے تناظر بور سے ایک کے بعد سے پ سیٹ اپ پ اندازہ اس کی ایک بہت always وقت نہیں جا رہا ہے جہاں کی قسم سکتے دیکھنے بن جاتا ہے لیکن اس کے لے کافی مزہ نہیں ہو حالانکہ میں صفای تے ہوے نہیں دیکھا ورتھ ورنہ پ نے کچھ بھی نہیں دیکھنے کے لے اگر ایک شاٹ اور اپنی گولڈن لڑکیوں کی اگلی سیٹ netflix سے نے کے لے انتظار کر رہے ہیں,urdu
23,#USER# جہاں اللہ نے واحد کا صیغہ استعمال کیا  وہ اپنی زات کے لئےجیسے مجھ سے ڈرو ،میں انعام دوں گا ، رزق میں دیتا ہوں وغیرہ وغیرہجہاں جمع کا صیغہ ہوگا وہاںاللہ اپنے قوانین کو شامل کرتا ہےجیسے نکاح کی بات ہوئی نکاح جو ہے قانون ہے۔۔اسی طرح اللہ فرماتا ہےجیسے ہم ہدایت دیں ۔۔ہم ۔۔۔۔۔,Not Hope,Not Hope,train, جہاں اللہ نے واحد کا صیغہ استعمال کیا وہ اپنی زات کے لےجیسے مجھ سے ڈرو میں انعام دوں گا  رزق میں دیتا ہوں وغیرہ وغیرہجہاں جمع کا صیغہ ہوگا وہاںاللہ اپنے قوانین کو شامل کرتا ہےجیسے نکاح کی بات ہوی نکاح جو ہے قانون ہےاسی طرح اللہ فرماتا ہےجیسے ہم ہدایت دیں ہم ,urdu
24,20 years ago people used to aspire to own their own home.These days they just want the foodbank to be stocked and find a NHS dentist,Hope,Realistic Hope,train,20 years ago people used to aspire to own their own homethese days they just want the foodbank to be stocked and find a nhs dentist,english
25,I hope I can find a person who shares the same music type with me 🤡🤡,Hope,Realistic Hope,train,i hope i can find a person who shares the same music type with me clownface,english
26,#USER# #USER# Blue dot in red TX but I’m hopeful for a blue November #BetoForTexas,Hope,Realistic Hope,train, blue dot in red tx but im hopeful for a blue november #betofortexas,english
27,"Mmmh Fluglärm - welch lieblicher Klang. 
Ist mir 2 Orte weiter nie wirklich so stark aufgefallen 🥸🥸
Aber vielleicht träume ich dann von Urlaub? #URL#",Hope,Realistic Hope,train,mmmh fluglärm  welch lieblicher klang ist mir 2 orte weiter nie wirklich so stark aufgefallen disguisedface aber vielleicht träume ich dann von urlaub? ,german
28,"#USER# Hier, in der 🇨🇭realisieren wir unsere berufliche Träume. Die angenehme „Nebenwirkung“ davon ist, man kann dabei etwas gutes auf die Beine stellen, das Allen-den Schweizern u. den Ausländern dient. Ich bin froh hier leben zu dürfen.",Hope,Realistic Hope,train, hier in der witzerlandrealisieren wir unsere berufliche träume die angenehme nebenwirkung davon ist man kann dabei etwas gutes auf die beine stellen das allenden schweizern u den ausländern dient ich bin froh hier leben zu dürfen,german
29,"#USER# #USER# Wir werden eine grüne Bürgermeisterin haben.
Sie sind am Ziel ihrer Träume.🥴 #URL#",Hope,Realistic Hope,train, wir werden eine grüne bürgermeisterin haben sie sind am ziel ihrer träumewoozyface ,german
30,"RT #USER# Este video me da esperanza, al menos ya tengo la cara de artesanía oaxaqueña 🥲 #URL#",Hope,Realistic Hope,train, este video me da esperanza al menos ya tengo la cara de artesania oaxaqueña smilingfacewithtear ,spanish
31,ÁNGELUS | A las 12:00h te invitamos a rezar el Ángelus poniendo ante Nuestra Madre tus intenciones.  En este segundo sábado de Cuaresma pedimos por la Congregación de las Hijas de Jesús #USER# #USER# para que Nuestra Purísima Madre del Buen Camino las proteja. #URL#,Hope,Realistic Hope,train,angelus  a las 1200h te invitamos a rezar el angelus poniendo ante nuestra madre tus intenciones en este segundo sabado de cuaresma pedimos por la congregacion de las hijas de jesus para que nuestra purisima madre del buen camino las proteja ,spanish
32,"RT #USER# #USER# Estoy deseando verla, porque no querre yo convertirme algun dia en reina de las walkirias...",Hope,Realistic Hope,train, estoy deseando verla porque no querre yo convertirme algun dia en reina de las walkirias,spanish
33,میں نے اپنے نفس کا اچھے سے محاسبہ کیا ہے۔ مجھے اپنے اندر کوئی کام کی بات نہیں ملی سوائے ایک کے۔۔۔کہ میں رحمٰن کی ذات سے رحمت کے امید رکھتا ہوں #AllahuAkbar #USER# #USER# #USER# #USER# #USER# #USER# #URL#,Hope,Realistic Hope,train,میں نے اپنے نفس کا اچھے سے محاسبہ کیا ہے مجھے اپنے اندر کوی کام کی بات نہیں ملی سواے ایک کےکہ میں رحمن کی ذات سے رحمت کے امید رکھتا ہوں #allahuakbar ,urdu
34,خواب پورا ہو گیا مجھے اور #USER# کو آخرکار خان صاحب کا دستخط شدہ مفلر اور کتاب مل گئ😍❤️🔥 اللہ نے چاہا تو بہت جلد خان صاحب سے ملاقات بھی ہو جائے گی❤️بہت بہت شکریہ #USER# اس انمول گفٹ کے لئے #URL#,Hope,Realistic Hope,train,خواب پورا ہو گیا مجھے اور کو خرکار خان صاحب کا دستخط شدہ مفلر اور کتاب مل گsmilingfacewithhearteyesredheartfire اللہ نے چاہا تو بہت جلد خان صاحب سے ملاقات بھی ہو جاے گیredheartبہت بہت شکریہ اس انمول گفٹ کے لے ,urdu
35,اللہ کا لاکھ احسان ہے اُس نے ہمیں “کل کیا ہوگا” کی خبر سے محض اس لیئے لاعلم رکھا کہ ہماری “کل ایک خوبصورت دن ہوگا” کی امید قائم رہے۔۔۔۔۔🙏🌹❤️🌹💯🇵🇰,Hope,Realistic Hope,train,اللہ کا لاکھ احسان ہے اس نے ہمیں کل کیا ہوگا کی خبر سے محض اس لیے لاعلم رکھا کہ ہماری کل ایک خوبصورت دن ہوگا کی امید قام رہےfoldedhandsroseredheartrosehundredpointsakistan,urdu
36,i wish skz had like official like continuous designs on their merch idk i feel like it’s all a bit random 😵‍💫,Hope,Unrealistic Hope,train,i wish skz had like official like continuous designs on their merch idk i feel like its all a bit random facewithspiraleyes,english
37,"Asian tigers were making the sinking country even earlier, still Inshallah will make 

#PMLNRebuildingPakistan
 #USER#  #USER# 
#NA133 #USER# 
@wahabshahzad3 #USER#",Hope,Unrealistic Hope,train,asian tigers were making the sinking country even earlier still inshallah will make #pmlnrebuildingpakistan #na133 wahabshahzad3 ,english
38,#USER# #USER# #USER# #USER# Yes pray it doesn’t say what kind of prayer. So I the pagan can pray to my gods in class. The satanist can do their prayer and the Muslim do their prayer. Yes it’s a wonderful win.,Hope,Unrealistic Hope,train, yes pray it doesnt say what kind of prayer so i the pagan can pray to my gods in class the satanist can do their prayer and the muslim do their prayer yes its a wonderful win,english
39,#USER# #USER# Kansas wird deine Träume zerstören lo,Hope,Unrealistic Hope,train, kansas wird deine träume zerstören lo,german
40,"#USER# Hat er nicht mal selbst in einem Video oder Discord-Leak gesagt, dass er absichtlich so verbal eskaliert damit die Nachbar mitbekommen wie oft und dolle er ""gestalkt"" wird, in der Hoffnung die mal rufen bei der PINEA an?",Hope,Unrealistic Hope,train, hat er nicht mal selbst in einem video oder discordleak gesagt dass er absichtlich so verbal eskaliedamit die nachbar mitbekommen wie oft und dolle er gestalkt wird in der hoffnung die mal rufen bei der pinea an?,german
41,#USER# Ich könnte mir eine Senseo mit Milchdingsi vorstellen? 🤔,Hope,Unrealistic Hope,train, ich könnte mir eine senseo mit milchdingsi vorstellen? thinkingface,german
42,"#USER# La luz se ha ido y todo está triste,  La soledad nos abraza sin resistencia.  Y es en estos días grises que me pregunto,  ¿Cómo puedo volver a encontrar la alegría?  Ahora miro hacia el cielo y rezo  Para que en este día gris se vaya el llanto 👇🏻👇🏻👇🏻",Hope,Unrealistic Hope,train, la luz se ha ido y todo esta triste la soledad nos abraza sin resistencia y es en estos dias grises que me pregunto como puedo volver a encontrar la alegria? ahora miro hacia el cielo y rezo para que en este dia gris se vaya el llanto backhandindexpointingdownlightskintonebackhandindexpointingdownlightskintonebackhandindexpointingdownlightskintone,spanish
43,#USER# #USER# #USER# Bien buena que está ojalá la supiera hacer 😋,Hope,Unrealistic Hope,train, bien buena que esta ojala la supiera hacer facesavoringfood,spanish
44,acá con 3 horas d sueño m voy a morir,Hope,Unrealistic Hope,train,aca con 3 horas d sueño m voy a morir,spanish
45,#USER# بہت اچھا یہ ہی خبیث باجوہ اور اس کے جیسے حرامیوں سے آڈرز لیتے ہیں اور اپنے ہی شہریوں کو گمنام کر کے مارتے ہیں۔ اللہ ان سب خبیثوں کو جہنم نصیب کرے۔,Hope,Unrealistic Hope,train, بہت اچھا یہ ہی خبیث باجوہ اور اس کے جیسے حرامیوں سے ڈرز لیتے ہیں اور اپنے ہی شہریوں کو گمنام کر کے مارتے ہیں اللہ ان سب خبیثوں کو جہنم نصیب کرے,urdu
46,انسان پہ ایسا وقت بھی آتا ہے جب اسکی سب سے بڑی خواہش صرف یہ ہوتی ہے کہ کاش اسکی محسوس کرنے کی حس نہ ہو..🥀💜,Hope,Unrealistic Hope,train,انسان پہ ایسا وقت بھی تا ہے جب اسکی سب سے بڑی خواہش صرف یہ ہوتی ہے کہ کاش اسکی محسوس کرنے کی حس نہ ہوwiltedflowerpurpleheart,urdu
47,پچھلے 6 سال حاجی کی مٹھائی کا آسرا، اگلے 3 سال حافظ کے حلوہ کی تمنا، 73 سال سے آسمان سے نازل شدہ کڑیل، خوبرو، گبرو لیڈرز کے لالی پاپس سے امیدیں- اس دوران میں دبلے پتلے، بھوکے ننگے بنگالی جن کو مارشل ریس بوجھ سمجھتی رہی، کہاں سے کہاں نکل گئے!,Hope,Unrealistic Hope,train,پچھلے  سال حاجی کی مٹھای کا سرا اگلے  سال حافظ کے حلوہ کی تمنا  سال سے سمان سے نازل شدہ کڑیل خوبرو گبرو لیڈرز کے لالی پاپس سے امیدیں اس دوران میں دبلے پتلے بھوکے ننگے بنگالی جن کو مارشل ریس بوجھ سمجھتی رہی کہاں سے کہاں نکل گے!,urdu
